Borehole,Abbreviation,Longitude,Latitude,X,Y,Total igneous thickness,nLava,Grade,Igneous thickness citation
AMan 2,AM2,82.118812,40.140652,595306.26,4443968.32,98.5,,0.1,"""Luo, 2006, Master Dissertation Essay"""
AMan1,AM1,82.030489,40.383505,587468.93,4470833.59,75,,0.08,"""Li et al., 2011, JAES"""
BaDong 2,BD2,81.860125,39.241491,574226.46,4343928.11,98,,0.09,"""Chen, 2005, Doctor Dersertation Essay"""
Damusi,DMS,76.640674,37.747448,115860.43,4186750.41,40,,0.02,"""Li et al., 2008"""
Ha 5,Ha5,82.811847,41.200496,651919.82,4562596.92,40,1,0.28,"""Zhang C.L. et al., 2008"""
Ha1,Ha1,83.031246,41.195881,670328.94,4562491.11,52,,0.2,"""Shangguan et al., 2012"""
Ha2,Ha2,83.132222,41.261782,678617.2,4570010.44,47,,0.26,"""Shangguan et al., 2012"""
Ha6,Ha6,82.98196,41.237434,666090.68,4567009.06,50,,0.27,"""Zhu et al., 2011"""
He 3,He3,80.768174,38.980398,479920.23,4314626.89,368,,0.2,"""Luo, 2006, Master Dissertation Essay"""
He 4,He4,80.888411,39.642124,490425.26,4388043.66,231.5,13,0.21,"""Tian et al., 2010"""
Heishantou/Gudongshan,HST/GDS,79.770548,38.731068,393135.97,4287651.01,110,5,0.07,"""Zhang C.L. et al., 2008"""
Kaipaizileike,KPZLK,79.736758,40.747472,393353.67,4511492.12,360,,0.15,"""Luo, 2006, Master Dissertation Essay"""
Kang 2,K2,78.940276,39.314831,322430.36,4353737.36,210,,0.34,"""Luo, 2006, Master Dissertation Essay"""
Ma401,MA401,80.607252,38.80256,465896.89,4294940.07,80,,0.04,"""Zhang H.A. et al., 2009"""
MA5,M5,80.527876,38.833871,459022.43,4298447.2,100,,0.05,"""Li et al., 2011, JAES"""
Macan 1,MC1,80.86585,38.537703,488308.5,4265485.55,150,3,0.1,"""Zhang C.L. et al., 2008"""
ManXi 1,MX1,82.926401,40.155475,664068.73,4446792.66,12.5,,0.02,"""Luo, 2006, Master Dissertation Essay"""
ManXi 2,MX2,81.831253,39.993606,570962.56,4427378.4,104.5,13,0.09,"""Luo, 2006, Master Dissertation Essay"""
MoMuKe,MMK,76.741862,37.562396,123846.69,4165793.77,25,1,0.01,"""Yu X. et al., 2009 (Chinese with English Abstract)"""
P1,P1,79.715867,40.048076,390462.11,4433883.09,33,,0.02,"""Li et al., 2011, JAES"""
Qimugan,QMG,76.462037,38.396212,103636.7,4259537.52,30,1,0.01,"""Yu X. et al., 2009 (Chinese with English Abstract)"""
Shan 2,S2,79.768582,38.800264,393068.43,4295332.14,410,2,0.24,"""Yu X. et al., 2009 (Chinese with English Abstract)"""
ShengHe 2,SH2,80.180203,38.184267,428203.9,4226577.69,105,,0.06,"""Li S.Z. et al., 2014"""
Sishichang,SSC,79.824626,40.815952,400873.76,4518990.94,40,,0.02,"""Yu et al., 2011, Gondwana Research"""
TaCan 1,TAC1,83.501825,39.068818,716441.69,4327392.73,5.5,1,0.01,"""Luo, 2006, Master Dissertation Essay"""
TangBei 2,TB2,82.197288,38.734244,604063.64,4287966.41,65,,0.05,"""Zhang H.A. et al., 2009"""
TangCan 1,TC1,82.330403,38.61466,615826.5,4274855.71,14.5,,0.01,"""Luo, 2006, Master Dissertation Essay"""
TaZhong 10,TZ10,82.809408,39.467466,655648.64,4370216.37,41,1,0.05,"""Luo, 2006, Master Dissertation Essay"""
TaZhong 18,TZ18,82.381079,39.393701,618926.75,4361377.24,37,4,0.04,"""Luo, 2006, Master Dissertation Essay"""
